column,missing_before,missing_after
Android Ver,3,2
App,0,0
Category,0,0
Content Rating,1,0
Current Ver,8,8
Genres,0,1
Installs,0,0
Last Updated,0,0
LastUpdated,0,0
Price,0,0
Rating,1474,1463
Reviews,0,0
Size,0,0
SizeMB,1695,1228
Type,1,0
